Company Name,old_fv,new_fv,date,code
Gammon India,10,2,15-03-2005,GAMMONIND
LCC Infotech,10,2,14-03-2005,LCCINFOTEC
Fast Track,10,1,11-03-2005,NA
Rico Auto,10,1,11-03-2005,RICOAUTO
Pondy Oxides,10,2,09-03-2005,PONDYOXIDE
Birlasoft,10,5,03-03-2005,BSOFT
Trimline Invt,10,1,25-02-2005,NA
Vishal Exports,5,1,25-02-2005,VISHALEXPO
Bhagyanagar Ind,10,2,24-02-2005,BHAGYANGR
Surana Telecom,10,5,24-02-2005,SURANAT&P
Geodesic,10,2,18-02-2005,GEODESIC
Interworld,10,1,14-02-2005,NA
Silicon Valley,10,1,11-02-2005,PRASGLOFIN
Triveni Engg,10,1,08-02-2005,TRIVENI
GV Films,10,1,08-02-2005,NA
Mercator,10,1,24-01-2005,MERCATOR
Vijay Textiles,10,1,19-01-2005,NA
Doctor Biotech,10,1,18-01-2005,NA
Matrix Lab,10,2,13-01-2005,MATRIXLABS
HT Media,10,2,28-12-2006,HTMEDIA
KEI Industries,10,2,21-12-2006,KEI
Lakshmi Energy,10,2,15-12-2006,LAKSHMIEFL
Lakshmi Machine,100,10,13-12-2006,LAXMIMACH
Future Ent,10,2,12-12-2006,FEL
FEL,10,2,12-12-2006,FELDVR
Graphite India,10,2,11-12-2006,GRAPHITE
Sanwaria Consum,5,2,08-12-2006,SANWARIA
Transport Corp,10,2,05-12-2006,TCI
Alicon Castallo,10,5,04-12-2006,ALICON
Jaipan Inds,1,10,24-11-2006,NA
Supreme Tex,10,5,17-11-2006,SUPREMETEX
Shreejal Info,10,1,14-11-2006,NA
Mazda,2,10,13-11-2006,MAZDA
Indian Hotels,10,1,27-10-2006,INDHOTEL
GMM Pfaudler,10,2,20-10-2006,GMMPFAUDLR
Ontrack Systems,1,10,19-10-2006,NA
Cat Technologie,1,10,19-10-2006,NA
Elecon Eng,10,2,17-10-2006,ELECON
Munjal Showa,10,2,16-10-2006,MUNJALSHOW
Swan Energy,100,2,13-10-2006,SWANENERGY
Manali Petro,10,5,28-09-2006,MANALIPETC
Navneet,10,2,27-09-2006,NAVNETEDUL
Alembic,10,2,26-09-2006,ALEMBICLTD
